"Source:","/Users/ageppert/Dropbox/Electronics/Core 64 Interactive Badge/Core-64-Interactive-Core-Memory-Badge/Electronic Design/Core64 LB v0.4/Core64 LB v0.4.sch"
"Date:","Saturday, November 21, 2020 at 09:58:32 AM"
"Tool:","Eeschema (5.1.2-1)-1"
"Generator:","/private/var/folders/kh/1q_kd4hn7cq821df7xpmdhbw0000gn/T/AppTranslocation/67FA71ED-F90D-4A98-A7A8-267930E57281/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","146"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","3V","Battery_Cell","Battery:BatteryHolder_MPD_BC2003_1x2032","Single-cell battery",""
"C1, C7, ","2","470uF","CP1","Capacitor_SMD:CP_Elec_6.3x7.7","Polarized capacitor, US symbol",""
"C3, C2, C14, C12, ","4","1uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C8, ","1","0.01uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C10, C9, C4, C5, C6, ","5","0.1uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C11, ","1","10uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C13, ","1","68uF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"D3, D4, D5, D6, D11, D1, ","6","BAT54AW","BAT54AW","Package_TO_SOT_SMD:SOT-323_SC-70","Dual schottky barrier diode, common anode, SOT-323",""
"D7, D8, D10, D9, D12, D2, ","6","BAT54CW","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","Dual schottky barrier diode, common cathode, SOT-323",""
"H2, H1, ","2","GND PAD","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","Mounting Hole with connection",""
"IC1, ","1","NCP176AMX330TCG","NCP176AMX330TCG","NCP176AMX330TCG:NCP176AMX330TCG","ON Semiconductor NCP176AMX330TCG, LDO Voltage Regulator, 500mA, 3.3 V +/-0.8%, 1.4  5.5 Vin, 6-Pin XDFN",""
"IC2, ","1","TPS7A0533PDBVR","TPS7A0533PDBVR","TPS7A0533PDBVR:SOT95P280X145-5N","1-A, ultra-low-IQ, 200-mA low-dropout (LDO) regulator in a small-sized package",""
"IC3, ","1","LP3961EMP-5.0","LP3961EMP-5.0","LP3961EMP-5.0:SOT150P696X180-5N","Fast Ultra Low Dropout Linear Regulators",""
"J3, ","1","Conn_01x08_Female","Conn_01x08_Female","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","PRG","Conn_01x01","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, J1, ","2","SSW-116-22-F-S-VS‎","Conn_01x16","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical_SMD_and_TH_Pin1Left","Generic connector, single row, 01x16, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, J7, J16, ","3","HEADER_8-PIN_0.1","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8, ","1","S03B-PASK-2_LF__SN_","S03B-PASK-2_LF__SN_","JST_S03B-PASK-2_LF__SN_:S03BPASK2LFSN","JST (JAPAN SOLDERLESS TERMINALS) - S03B-PASK-2(LF)(SN) - HEADER, PA, 3WAY, SIDE, 2MM",""
"J10, ","1","TSM-106-03-T-DV‎","Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical_SMD_and_TH","Generic connector, double row, 02x07, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J12, ","1","TEENSY Cur. Mon.","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J13, ","1","Core Cur. Mon.","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J14, ","1","HEADER_11-PIN_0.1","Conn_01x11","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Vertical","Generic connector, single row, 01x11, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J17, ","1","LED Cur. Mon.","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J18, ","1","5V0 Cur. Mon.","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J19, ","1","3V3 Cur. Mon.","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"JP1, ","1","USB_Power_Enable","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged",""
