Raw BOM from PCBNEW (since EESCHEMA lost it's BOM scripts),,,,,
Core Logic Board V0.3,,,,,
19-May-20,,,,,
,,,,,
Id,Designator,Package,Quantity,Designation,Supplier and ref
1,J3,LED_Matrix_Header_3pin_0.9_holes,1,LED ARRAY,
2,X1,Badgelife-SAOv169-BADGE-2x3,1,SFH11-NBPC-D03-ST-BK,
3,CM1,core_64_x6.7_y6.5mm_v0.3_front_facing,1,Core_Memory_8x8_Array_Front_Facing,
4,"C1,C3,C5,C7,C9,C10,C11,C12",C_0805_2012Metric,8,0.1uF,
5,"C2,C4,C6,C8",C_0805_2012Metric,4,10pF,
6,"R1,R2,R3,R4",R_0805_2012Metric,4,4K7,
7,U5,SOT-23-5,1,SI7210-B-01,
8,U6,SOT-23-5,1,SI7210-B-02,
9,U7,SOT-23-5,1,SI7210-B-03,
10,U8,SOT-23-5,1,SI7210-B-04,
11,U1,SOT-23_Handsoldering,1,A3214ELHL-T,
12,U2,SOT-23_Handsoldering,1,DRV5032FADBZR,
13,JP4,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,Hall_4,
14,U3,SOT-23_Handsoldering,1,DRV5032DUDBZR,
15,U4,SOT-23_Handsoldering,1,DRV5032,
16,JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,Hall_1,
17,JP2,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,Hall_2,
18,JP3,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,Hall_3,
19,"J1,J2",PinHeader_1x16_P2.54mm_Vertical_SMD_and_TH_Pin1Right,2,TSM-116-03-T-SV‎,
20,L1,Github_Link,1,Core_64_Github_Link,
