Source:,/Users/ageppert/Dropbox/Electronics/Core 64 Interactive Badge/Core-64-Interactive-Core-Memory-Badge/Electronic Design/Interactive Core Memory Badge (Logic) v0.3/Interactive Core Memory Badge (Logic) Main v0.3.sch,,,,,,,,,,,,,,,,,
Date:,"Thursday, May 21, 2020 at 07:06:58 AM",,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.2-1)-1,,,,,,,,,,,,,,,,,
Generator:,/private/var/folders/kh/1q_kd4hn7cq821df7xpmdhbw0000gn/T/AppTranslocation/C0C9017D-E73E-48F9-99F9-451879B2E2B1/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,
Component Count:,122,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,Digi-Key_PN,LibPart,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Family,Height,MPN,Manufacturer,Manufacturer_Name,Manufacturer_Part_Number,Status
1,2,"C1, C8",1000uF,,Device:CP1_Small,Capacitor_SMD:CP_Elec_10x10,~,,,,,,,,,,,
2,7,"C2, C4, C5, C6, C7, C9, C11",0.1uF,,Device:CP1_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,
3,2,"C3, C10",10uF,,Device:CP1_Small,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,
4,1,D1,MBR120,,Diode:MBR0520,Diode_SMD:D_SOD-123F,https://www.digikey.com/product-detail/en/on-semiconductor/MBR120VLSFT1G/MBR120VLSFT1GOSCT-ND/893874,,,,,,,,,,,
5,6,"D2, D4, D6, D8, D10, D12",BAT54AW,,Diode:BAT54AW,Package_TO_SOT_SMD:SOT-323_SC-70,https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf,,,,,,,,,,,
6,6,"D3, D5, D7, D9, D11, D13",BAT54CW,,Diode:BAT54CW,Package_TO_SOT_SMD:SOT-323_SC-70,https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf,,,,,,,,,,,
7,1,F1,Polyfuse,,Device:Polyfuse,Fuse:Fuse_0805_2012Metric,~,,,,,,,,,,,
8,1,H1,#NAME?,,Mechanical:MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_Pad_Via,~,,,,,,,,,,,
9,1,H2,GND PAD,,Mechanical:MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_Pad_Via,~,,,,,,,,,,,
10,1,J1,BM03B-PASS-1-TFT__LF__SN_,,BM03B-PASS-1-TFT__LF__SN_:BM03B-PASS-1-TFT__LF__SN_,JST_BM03B-PASS-1-TFT:BM03BPASS1TFTLFSN,http://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf,,,,Conn Shrouded Header HDR 3 POS 2mm Solder ST SMD T/R,,8.8,,,JST (JAPAN SOLDERLESS TERMINALS),BM03B-PASS-1-TFT (LF)(SN),
11,1,J2,Conn_01x02_Male,,Connector:Conn_01x02_Male,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left,~,,,,,,,,,,,
12,4,"J3, J5, J8, X2",Conn_01x08_Female,,Connector:Conn_01x08_Female,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,~,,,,,,,,,,,
13,1,J4,TSM-106-03-T-DV‎,,Connector_Generic:Conn_02x06_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical_SMD_and_TH,~,,,,,,,,,,,
14,2,"J6, J7",SSW-116-22-F-S-VS‎,,Connector:Conn_01x16_Female,Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical_SMD_and_TH_Pin1Left,~,,,,,,,,,,,
15,1,JP1,SolderJumper_3_Bridged12,,Jumper:SolderJumper_3_Bridged12,Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,~,,,,,,,,,,,
16,1,JP2,SolderJumper_3_Bridged123,,Jumper:SolderJumper_3_Bridged123,Jumper:SolderJumper-3_P1.3mm_Bridged123_Pad1.0x1.5mm_NumberLabels,~,,,,,,,,,,,
17,2,"JP3, JP4",SolderJumper_3_Open,,Jumper:SolderJumper_3_Open,Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,~,,,,,,,,,,,
18,2,"L1, L2",Core_64_Logo,,CORE_64_LIBRARY:Core_64_Logo,Core_Memory_8x8_Array:Core64_Logo,,,,,,,,,,,,
19,1,L3,Core_64_Github_Link,,CORE_64_LIBRARY:Core_64_Github_Link,Core_Memory_8x8_Array:Github_Link_Large,,,,,,,,,,,,
20,1,L4,Core_64_Github_Link,,CORE_64_LIBRARY:Core_64_Github_Link,Core_Memory_8x8_Array:Github_Link_Small,,,,,,,,,,,,
21,1,Q1,IRLML6344TRPBF,,Transistor_FET:IRLML2060,Digikey:SOT-23-3,https://www.digikey.com/product-detail/en/infineon-technologies/IRLML6344TRPBF/IRLML6344TRPBFCT-ND/2538168,,,,,,,,,,,
22,10,"Q2, Q5, Q7, Q9, Q11, Q13, Q15, Q17, Q19, Q21",MMBT4403LT1G,MMBT4403LT1GOSCT-ND,Digikey-Transistors:MMBT4403LT1G,Digikey:SOT-23-3,http://www.onsemi.com/pub/Collateral/MMBT4403LT1-D.PDF,Discrete Semiconductor Products,http://www.onsemi.com/pub/Collateral/MMBT4403LT1-D.PDF,/product-detail/en/on-semiconductor/MMBT4403LT1G/MMBT4403LT1GOSCT-ND/1139820,TRANS PNP 40V 0.6A SOT23,Transistors - Bipolar (BJT) - Single,,MMBT4403LT1G,ON Semiconductor,,,Active
23,11,"Q3, Q4, Q6, Q8, Q10, Q12, Q14, Q16, Q18, Q20, Q22",MMBT4401LT1G,MMBT4401LT1GOSCT-ND,Digikey-Transistors:MMBT4401LT1G,Digikey:SOT-23-3,http://www.onsemi.com/pub/Collateral/MMBT4401LT1-D.PDF,Discrete Semiconductor Products,http://www.onsemi.com/pub/Collateral/MMBT4401LT1-D.PDF,/product-detail/en/on-semiconductor/MMBT4401LT1G/MMBT4401LT1GOSCT-ND/1139819,TRANS NPN 40V 0.6A SOT23,Transistors - Bipolar (BJT) - Single,,MMBT4401LT1G,ON Semiconductor,,,Active
24,1,R1,0.001,,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,,,,
